"","Name","Rating","RatingCount","BoughtCount","Price","DeliveryFree","DeliveryDate","festival"
"23","Lovely Taco Valentines Day Card for Him Her, Naughty Valentine's Day Gift for Husband Wife, Romantic Boyfriend Girlfriend Vday Card, To The Only Meat for My Taco","4.9 out of 5 stars, rating details","160 ratings","1K+ bought in past month","$5
99","Delivery","Mon, Jan 27","Valentine's Day"
"24","Preserved Red Real Rose-Eternal Flowers Rose Gifts for Women Her Mom Wife Girlfriend on Valentines Mothers Day with I Love You Necklace 100 Languages Engraved Acrylic Block Puzzle Piece","5.0 out of 5 stars, rating details","7 ratings",NA,"$49
98","Delivery","Mon, Jan 27","Valentine's Day"
"25","Gifts for Husband Valentines Day for Him Boyfriend, Funny Husband’s Ice Cream Shovel for Men Husband Dad Birthday, Father’s Day, Wedding Anniversary Presents To My Husband","4.6 out of 5 stars, rating details","137 ratings","500+ bought in past month","$7
99","Delivery","Fri, Jan 24","Valentine's Day"
"26","Valentines Day Gifts for Her,12oz Novelty Coffee Mug Gifts for Girlfriend Besties Sisters Wife Best Friends,Thank You Gifts for Women Mom Grandma,Birthday Gifts for Women,Mothers Day Gifts for Mom","5.0 out of 5 stars, rating details","3 ratings",NA,"$7
98","Delivery","Fri, Jan 24","Valentine's Day"
"27","Valentines Day Flowers Roses Gifts for Women,Forever Preserved Roses in Glass Dome, Anniversary Thanksging Birthday Valentines Day Real Roses Gifts for Her Wife Mom Girlfrien/Purple","4.6 out of 5 stars, rating details","257 ratings","400+ bought in past month","$59
99","Delivery","Fri, Jan 24","Valentine's Day"
"28","LEGO Valentine Lovebirds Building Toy Set - Fun and Engaging Build for Kids, Girls & Boys, Ages 8+ - Valentines Day Decoration and Gift - 40522","4.8 out of 5 stars, rating details","4,352 ratings","1K+ bought in past month","$42
99","$7.89 delivery",NA,"Valentine's Day"
"29","Valentines Day Gifts for Him Her, Date Night Dice Couples Gift for Him Her, Dinner Decider Dice, Anniversary Birthday Valentines Day for Husband Wife Boyfriend Girlfriend Women Men","5.0 out of 5 stars, rating details","17 ratings",NA,"$6
79","Delivery","Mon, Jan 27","Valentine's Day"
"30","Tmacker Valentines Day Gifts for Her Wife Mom Girlfriend,Birthday Gifts for Women,Gifts for Mom Grandma Her Wife,Mothers Day Mom Gifts, Artificial Rose Flower w/Vase Anniversary Wedding Gifts","4.4 out of 5 stars, rating details","2,502 ratings","1K+ bought in past month","$9
99","Delivery","Fri, Jan 24","Valentine's Day"
"31","Valentines Day Gifts for Her- Hand Made Rose Kitty Valentine Day Gifts for Kids - Artificial Teddy Bear Gift for Women, Mothers Day, Wedding and Anniversary, Birthday Present","5.0 out of 5 stars, rating details","9 ratings","800+ bought in past month","$23
99","Delivery","Fri, Jan 24","Valentine's Day"
"32","24 Pcs Valentines Appreciation Gifts for Employees Valentines Day Team Gift 24oz Heart Plastic Cups with Lids Straws Thank You Gifts for Staff Coworker Teacher Nurse Staff",NA,NA,NA,"$37
99","Delivery","Mon, Jan 27","Valentine's Day"
"33","Avidlove Lingerie for Women Lace Babydoll Sleepwear Boudoir Outfits Plus Size Langeray XS-5XL","4.5 out of 5 stars, rating details","45,000 ratings","100+ bought in past month","$21
99","Delivery","Fri, Jan 24","Valentine's Day"
"34","Valentines Day Gifts for Him Her Boyfriend Girlfriend Wife Husband Capsule DIY Letter Message in a Bottle, 100 PCS Love Letter Couples Gifts Mothers Day Anniversary Birthday Gifts for Women Mom Men","4.6 out of 5 stars, rating details","156 ratings","1K+ bought in past month","$9
99","Delivery","Mon, Jan 27","Valentine's Day"
"35","10 Pack Hand Cream for Dry Cracked Hands, Valentines Day Gifts for Her, Birthday Gifts for Women Girls,Teacher Appreciation Gifts, Natural Plant Fragrance Mini Hand Lotion Moisturizing Hand Care Cream","4.4 out of 5 stars, rating details","3,712 ratings","10K+ bought in past month","$9
99","Delivery","Fri, Jan 24","Valentine's Day"
"36","Civaner Valentine Plush Stuffed Animal Bear Gift with Rose Valentine Funny Cute Stuffed Animal Plush Gift for Girlfriend Valentine's Day, 11.8 Inches(Beige)","3.8 out of 5 stars, rating details","237 ratings","1K+ bought in past month","$11
99","Delivery","Fri, Jan 24","Valentine's Day"
"37","Valentines Day Decor - Valentines Day Decorations - Valentines Day Gifts for Her, Teacher, Girls, Him - Wedding for Women - Valentines Day Couple Plush Gnomes Decorations for Home","4.7 out of 5 stars, rating details","723 ratings","2K+ bought in past month","$30
99","Delivery","Fri, Jan 24","Valentine's Day"
"38","Valentines Day Gem Gifts for Kids - 24 Pack Prefilled Valentine's Day Cards with Heart-shaped Gemstone for School Classroom Class Party Favor, Valentine Rock Crystal Gift Exchange for Boys Girls","4.3 out of 5 stars, rating details","17 ratings","1K+ bought in past month","$28
99","Delivery","Fri, Jan 24","Valentine's Day"
"39","24k Gold Rose Valentines Day Gifts for Her Women,Real Rose Dipped 24K Gold,Best Gifts for Valentines Day Christmas Birthday Anniversary for Women,Mom,Grandma(Red,Crystal Stand)","4.8 out of 5 stars, rating details","1,359 ratings","300+ bought in past month","$51
99","Delivery","Mon, Jan 27","Valentine's Day"
